shipment_id,order_id,sku,supplier_id,shipment_date,expected_delivery_date,actual_delivery_date,shipment_status,carrier,quantity_shipped,shipping_cost,delay_reason,delivery_delay_days,is_delivered,is_delayed,is_lost,is_in_transit,delivered_on_time_flag
SHP-906556,ORD-502207,SKU-10012,SUP-236,2024-01-04,2024-01-12,2024-01-17,Delayed,DHL,7,5.77,Inventory Shortage,5.0,False,True,False,False,False
SHP-906557,ORD-500547,SKU-10038,SUP-244,2024-01-03,2024-01-10,2024-01-09,Delivered,FedEx,43,7.84,,-1.0,True,False,False,False,True
SHP-906558,ORD-516613,SKU-10354,SUP-236,2024-01-20,2024-01-25,2024-01-25,Delivered,FreightCo,35,11.68,,0.0,True,False,False,False,True
SHP-906559,ORD-511275,SKU-10192,SUP-237,2024-01-12,2024-01-19,2024-01-19,Delivered,FedEx,17,6.16,,0.0,True,False,False,False,True
SHP-906560,ORD-518012,SKU-10492,SUP-226,2024-01-20,2024-01-29,2024-01-28,Delivered,USPS,36,10.89,,-1.0,True,False,False,False,True
SHP-906561,ORD-500945,SKU-10224,SUP-216,2024-01-04,2024-01-09,2024-01-08,Delivered,FreightCo,1,5.3,,-1.0,True,False,False,False,True
SHP-906562,ORD-526819,SKU-10258,SUP-249,2024-01-27,2024-02-05,2024-02-06,Delivered,UPS,21,11.11,,1.0,True,True,False,False,False
SHP-906563,ORD-524449,SKU-10148,SUP-239,2024-01-27,2024-01-30,2024-02-02,Delayed,FedEx,29,14.39,Inventory Shortage,3.0,False,True,False,False,False
SHP-906564,ORD-510468,SKU-10355,SUP-230,2024-01-12,2024-01-22,2024-01-21,Delivered,DHL,12,5.87,,-1.0,True,False,False,False,True
SHP-906565,ORD-513982,SKU-10486,SUP-234,2024-01-14,2024-01-18,2024-01-18,Delivered,UPS,6,6.1,,0.0,True,False,False,False,True
SHP-906566,ORD-512309,SKU-10467,SUP-202,2024-01-16,2024-01-26,2024-01-25,Delivered,UPS,48,23.06,,-1.0,True,False,False,False,True
SHP-906567,ORD-508835,SKU-10472,SUP-209,2024-01-11,2024-01-19,2024-01-19,Delivered,USPS,28,8.08,,0.0,True,False,False,False,True
SHP-906568,ORD-529804,SKU-10278,SUP-242,2024-02-02,2024-02-09,2024-02-10,Delivered,FedEx,6,7.16,,1.0,True,True,False,False,False
SHP-906569,ORD-503352,SKU-10355,SUP-243,2024-01-05,2024-01-12,2024-01-12,Delivered,FreightCo,15,7.28,,0.0,True,False,False,False,True
SHP-906570,ORD-524439,SKU-10416,SUP-218,2024-01-28,2024-02-02,2024-02-01,Delivered,DHL,28,13.22,,-1.0,True,False,False,False,True
SHP-906571,ORD-501680,SKU-10041,SUP-228,2024-01-03,2024-01-07,2024-01-09,Delivered,FedEx,20,10.53,,2.0,True,True,False,False,False
SHP-906572,ORD-525776,SKU-10386,SUP-221,2024-01-26,2024-01-30,2024-02-02,Delayed,FreightCo,27,13.87,Customs Hold,3.0,False,True,False,False,False
SHP-906573,ORD-501557,SKU-10159,SUP-233,2024-01-04,2024-01-07,2024-01-07,Delivered,DHL,48,12.78,,0.0,True,False,False,False,True
SHP-906574,ORD-518318,SKU-10148,SUP-234,2024-01-20,2024-01-29,2024-01-28,Delivered,FreightCo,1,5.32,,-1.0,True,False,False,False,True
SHP-906575,ORD-510711,SKU-10201,SUP-228,2024-01-14,2024-01-21,2024-01-23,Delivered,USPS,6,5.98,,2.0,True,True,False,False,False
SHP-906576,ORD-505863,SKU-10064,SUP-214,2024-01-07,2024-01-10,,Lost,DHL,21,12.73,Carrier Backlog,,False,False,True,False,False
SHP-906577,ORD-512568,SKU-10390,SUP-234,2024-01-15,2024-01-18,2024-01-18,Delivered,USPS,44,12.03,,0.0,True,False,False,False,True
SHP-906578,ORD-507729,SKU-10443,SUP-219,2024-01-09,2024-01-13,,In-Transit,DHL,3,5.56,,,False,False,False,True,False
SHP-906579,ORD-519534,SKU-10215,SUP-214,2024-01-22,2024-01-31,2024-01-30,Delivered,DHL,4,6.09,,-1.0,True,False,False,False,True
SHP-906580,ORD-502698,SKU-10118,SUP-225,2024-01-05,2024-01-14,,In-Transit,USPS,38,10.8,,,False,False,False,True,False
SHP-906581,ORD-504199,SKU-10364,SUP-203,2024-01-08,2024-01-17,2024-01-18,Delivered,UPS,35,12.15,,1.0,True,True,False,False,False
SHP-906582,ORD-521755,SKU-10486,SUP-228,2024-01-22,2024-01-31,2024-02-05,Delayed,UPS,43,19.88,Carrier Backlog,5.0,False,True,False,False,False
SHP-906583,ORD-529409,SKU-10140,SUP-225,2024-02-01,2024-02-04,2024-02-06,Delivered,USPS,10,6.18,,2.0,True,True,False,False,False
SHP-906584,ORD-524613,SKU-10492,SUP-221,2024-01-25,2024-02-04,2024-02-03,Delivered,DHL,38,7.45,,-1.0,True,False,False,False,True
SHP-906585,ORD-505653,SKU-10383,SUP-225,2024-01-06,2024-01-10,2024-01-11,Delivered,USPS,37,14.55,,1.0,True,True,False,False,False
SHP-906586,ORD-514048,SKU-10276,SUP-211,2024-01-18,2024-01-22,2024-01-21,Delivered,UPS,28,8.28,,-1.0,True,False,False,False,True
SHP-906587,ORD-520486,SKU-10187,SUP-238,2024-01-24,2024-01-27,2024-01-29,Delivered,DHL,18,11.61,,2.0,True,True,False,False,False
SHP-906588,ORD-515829,SKU-10428,SUP-249,2024-01-18,2024-01-26,2024-01-27,Delivered,UPS,2,5.41,,1.0,True,True,False,False,False
SHP-906589,ORD-523339,SKU-10272,SUP-231,2024-01-25,2024-02-02,2024-02-01,Delivered,DHL,4,6.51,,-1.0,True,False,False,False,True
SHP-906590,ORD-522445,SKU-10312,SUP-246,2024-01-24,2024-01-29,2024-01-28,Delivered,USPS,2,5.49,,-1.0,True,False,False,False,True
SHP-906591,ORD-508596,SKU-10416,SUP-206,2024-01-12,2024-01-18,2024-01-24,Delayed,UPS,14,8.87,Weather Delay,6.0,False,True,False,False,False
SHP-906592,ORD-503732,SKU-10018,SUP-206,2024-01-05,2024-01-11,2024-01-13,Delivered,USPS,2,5.72,,2.0,True,True,False,False,False
SHP-906593,ORD-517626,SKU-10144,SUP-224,2024-01-21,2024-01-28,2024-01-30,Delivered,UPS,30,10.53,,2.0,True,True,False,False,False
SHP-906594,ORD-514608,SKU-10355,SUP-209,2024-01-16,2024-01-21,2024-01-20,Delivered,DHL,17,9.55,,-1.0,True,False,False,False,True
SHP-906595,ORD-501719,SKU-10400,SUP-245,2024-01-05,2024-01-11,,In-Transit,FreightCo,13,7.08,,,False,False,False,True,False
SHP-906596,ORD-516730,SKU-10037,SUP-203,2024-01-18,2024-01-21,2024-01-22,Delivered,FedEx,28,9.93,,1.0,True,True,False,False,False
SHP-906597,ORD-518220,SKU-10031,SUP-210,2024-01-22,2024-01-28,2024-01-27,Delivered,FreightCo,36,6.97,,-1.0,True,False,False,False,True
SHP-906598,ORD-513530,SKU-10170,SUP-245,2024-01-14,2024-01-18,2024-01-17,Delivered,FedEx,12,8.77,,-1.0,True,False,False,False,True
SHP-906599,ORD-526934,SKU-10317,SUP-220,2024-01-27,2024-02-01,2024-02-03,Delayed,UPS,41,13.28,Carrier Backlog,2.0,False,True,False,False,False
SHP-906600,ORD-508781,SKU-10257,SUP-243,2024-01-10,2024-01-16,2024-01-16,Delivered,UPS,32,7.25,,0.0,True,False,False,False,True
SHP-906601,ORD-518439,SKU-10046,SUP-205,2024-01-21,2024-01-25,2024-01-25,Delivered,FedEx,26,7.19,,0.0,True,False,False,False,True
SHP-906602,ORD-503113,SKU-10085,SUP-228,2024-01-05,2024-01-14,,In-Transit,USPS,31,15.5,,,False,False,False,True,False
SHP-906603,ORD-510285,SKU-10162,SUP-222,2024-01-12,2024-01-18,2024-01-20,Delayed,UPS,23,9.17,Weather Delay,2.0,False,True,False,False,False
SHP-906604,ORD-528747,SKU-10173,SUP-210,2024-01-30,2024-02-04,2024-02-07,Delayed,UPS,12,7.19,Weather Delay,3.0,False,True,False,False,False
SHP-906605,ORD-501498,SKU-10147,SUP-220,2024-01-04,2024-01-08,2024-01-10,Delivered,FedEx,17,8.42,,2.0,True,True,False,False,False
SHP-906606,ORD-518796,SKU-10015,SUP-246,2024-01-22,2024-01-25,,In-Transit,DHL,34,13.7,,,False,False,False,True,False
SHP-906607,ORD-528354,SKU-10154,SUP-241,2024-02-01,2024-02-06,2024-02-06,Delivered,USPS,25,14.52,,0.0,True,False,False,False,True
SHP-906608,ORD-528013,SKU-10363,SUP-216,2024-01-29,2024-02-02,2024-02-01,Delivered,USPS,17,7.05,,-1.0,True,False,False,False,True
SHP-906609,ORD-509298,SKU-10436,SUP-221,2024-01-10,2024-01-15,2024-01-14,Delivered,DHL,40,19.81,,-1.0,True,False,False,False,True
SHP-906610,ORD-515075,SKU-10107,SUP-202,2024-01-17,2024-01-24,,In-Transit,FreightCo,17,8.4,,,False,False,False,True,False
SHP-906611,ORD-522001,SKU-10454,SUP-206,2024-01-24,2024-01-27,2024-02-01,Delayed,FedEx,1,5.23,Customs Hold,5.0,False,True,False,False,False
SHP-906612,ORD-514807,SKU-10115,SUP-229,2024-01-17,2024-01-27,2024-01-27,Delivered,UPS,9,7.76,,0.0,True,False,False,False,True
SHP-906613,ORD-501497,SKU-10153,SUP-222,2024-01-05,2024-01-11,2024-01-12,Delivered,USPS,46,18.12,,1.0,True,True,False,False,False
SHP-906614,ORD-527493,SKU-10460,SUP-243,2024-01-28,2024-02-01,2024-02-02,Delivered,UPS,41,15.51,,1.0,True,True,False,False,False
SHP-906615,ORD-529599,SKU-10154,SUP-214,2024-01-31,2024-02-09,2024-02-09,Delivered,UPS,3,5.8,,0.0,True,False,False,False,True
SHP-906616,ORD-518104,SKU-10396,SUP-203,2024-01-19,2024-01-26,2024-01-25,Delivered,FreightCo,43,9.0,,-1.0,True,False,False,False,True
SHP-906617,ORD-527914,SKU-10401,SUP-218,2024-01-31,2024-02-06,,In-Transit,USPS,17,7.53,,,False,False,False,True,False
SHP-906618,ORD-526302,SKU-10473,SUP-213,2024-01-30,2024-02-05,,In-Transit,UPS,43,13.33,,,False,False,False,True,False
SHP-906619,ORD-521012,SKU-10444,SUP-213,2024-01-25,2024-02-02,2024-02-02,Delivered,USPS,44,19.45,,0.0,True,False,False,False,True
SHP-906620,ORD-503296,SKU-10139,SUP-207,2024-01-04,2024-01-10,2024-01-12,Delivered,DHL,45,12.02,,2.0,True,True,False,False,False
SHP-906621,ORD-513559,SKU-10332,SUP-208,2024-01-16,2024-01-25,,In-Transit,FedEx,22,10.17,,,False,False,False,True,False
SHP-906622,ORD-511661,SKU-10372,SUP-227,2024-01-12,2024-01-16,2024-01-16,Delivered,USPS,7,6.57,,0.0,True,False,False,False,True
SHP-906623,ORD-527927,SKU-10199,SUP-244,2024-01-29,2024-02-01,,In-Transit,DHL,34,10.54,,,False,False,False,True,False
SHP-906624,ORD-518582,SKU-10443,SUP-204,2024-01-19,2024-01-23,2024-01-23,Delivered,DHL,37,14.72,,0.0,True,False,False,False,True
SHP-906625,ORD-521896,SKU-10407,SUP-240,2024-01-22,2024-01-25,2024-01-25,Delivered,UPS,14,7.67,,0.0,True,False,False,False,True
SHP-906626,ORD-522819,SKU-10199,SUP-214,2024-01-23,2024-02-01,,Lost,USPS,27,12.13,Carrier Backlog,,False,False,True,False,False
SHP-906627,ORD-512538,SKU-10351,SUP-239,2024-01-16,2024-01-26,2024-01-28,Delayed,DHL,34,15.6,Inventory Shortage,2.0,False,True,False,False,False
SHP-906628,ORD-500563,SKU-10181,SUP-222,2024-01-03,2024-01-11,2024-01-13,Delayed,DHL,9,6.22,Customs Hold,2.0,False,True,False,False,False
SHP-906629,ORD-505345,SKU-10422,SUP-243,2024-01-07,2024-01-15,2024-01-16,Delivered,FedEx,4,6.45,,1.0,True,True,False,False,False
SHP-906630,ORD-517365,SKU-10281,SUP-202,2024-01-19,2024-01-24,2024-01-23,Delivered,UPS,24,11.23,,-1.0,True,False,False,False,True
SHP-906631,ORD-512086,SKU-10330,SUP-202,2024-01-15,2024-01-18,2024-01-20,Delivered,FreightCo,16,8.08,,2.0,True,True,False,False,False
SHP-906632,ORD-524399,SKU-10320,SUP-236,2024-01-25,2024-02-03,,In-Transit,UPS,47,21.11,,,False,False,False,True,False
SHP-906633,ORD-505290,SKU-10013,SUP-241,2024-01-06,2024-01-12,2024-01-11,Delivered,USPS,40,11.21,,-1.0,True,False,False,False,True
SHP-906634,ORD-523290,SKU-10079,SUP-227,2024-01-26,2024-01-30,,In-Transit,USPS,39,16.44,,,False,False,False,True,False
SHP-906635,ORD-501873,SKU-10437,SUP-203,2024-01-04,2024-01-10,2024-01-10,Delivered,FreightCo,5,5.64,,0.0,True,False,False,False,True
SHP-906636,ORD-513263,SKU-10456,SUP-245,2024-01-14,2024-01-20,2024-01-21,Delivered,DHL,24,8.34,,1.0,True,True,False,False,False
SHP-906637,ORD-519248,SKU-10295,SUP-202,2024-01-21,2024-01-25,2024-01-27,Delayed,FreightCo,46,12.56,Customs Hold,2.0,False,True,False,False,False
SHP-906638,ORD-529208,SKU-10123,SUP-232,2024-02-02,2024-02-09,2024-02-10,Delivered,FedEx,34,16.54,,1.0,True,True,False,False,False
SHP-906639,ORD-525692,SKU-10259,SUP-245,2024-01-27,2024-02-02,2024-02-07,Delayed,FedEx,9,6.54,Customs Hold,5.0,False,True,False,False,False
SHP-906640,ORD-518447,SKU-10129,SUP-236,2024-01-21,2024-01-29,2024-01-31,Delayed,USPS,1,5.11,Carrier Backlog,2.0,False,True,False,False,False
SHP-906641,ORD-514827,SKU-10193,SUP-244,2024-01-17,2024-01-27,,In-Transit,DHL,43,18.96,,,False,False,False,True,False
SHP-906642,ORD-508665,SKU-10035,SUP-214,2024-01-11,2024-01-16,2024-01-16,Delivered,FreightCo,21,12.82,,0.0,True,False,False,False,True
SHP-906643,ORD-506133,SKU-10052,SUP-231,2024-01-10,2024-01-20,2024-01-20,Delivered,FedEx,36,9.9,,0.0,True,False,False,False,True
SHP-906644,ORD-518356,SKU-10368,SUP-221,2024-01-21,2024-01-26,2024-01-28,Delivered,FedEx,19,11.15,,2.0,True,True,False,False,False
SHP-906645,ORD-513692,SKU-10163,SUP-210,2024-01-17,2024-01-24,2024-01-26,Delivered,UPS,8,7.35,,2.0,True,True,False,False,False
SHP-906646,ORD-526886,SKU-10416,SUP-204,2024-01-28,2024-02-06,2024-02-07,Delivered,FreightCo,38,18.53,,1.0,True,True,False,False,False
SHP-906647,ORD-525726,SKU-10475,SUP-220,2024-01-29,2024-02-04,2024-02-05,Delivered,FreightCo,45,18.74,,1.0,True,True,False,False,False
SHP-906648,ORD-509090,SKU-10073,SUP-211,2024-01-12,2024-01-20,2024-01-22,Delivered,FreightCo,28,10.32,,2.0,True,True,False,False,False
SHP-906649,ORD-514421,SKU-10299,SUP-234,2024-01-17,2024-01-25,2024-01-25,Delivered,USPS,35,11.38,,0.0,True,False,False,False,True
SHP-906650,ORD-529088,SKU-10396,SUP-203,2024-01-31,2024-02-05,2024-02-07,Delivered,USPS,37,17.77,,2.0,True,True,False,False,False
SHP-906651,ORD-500349,SKU-10121,SUP-244,2024-01-01,2024-01-09,2024-01-13,Delayed,FedEx,33,11.55,Customs Hold,4.0,False,True,False,False,False
SHP-906652,ORD-501687,SKU-10244,SUP-219,2024-01-03,2024-01-11,2024-01-11,Delivered,UPS,37,11.43,,0.0,True,False,False,False,True
SHP-906653,ORD-501355,SKU-10050,SUP-204,2024-01-03,2024-01-08,2024-01-10,Delivered,UPS,12,7.41,,2.0,True,True,False,False,False
SHP-906654,ORD-520506,SKU-10369,SUP-236,2024-01-22,2024-01-26,2024-01-28,Delivered,FreightCo,39,17.02,,2.0,True,True,False,False,False
SHP-906655,ORD-520678,SKU-10352,SUP-243,2024-01-22,2024-01-28,2024-01-29,Delivered,FedEx,18,12.12,,1.0,True,True,False,False,False
SHP-906656,ORD-509939,SKU-10066,SUP-200,2024-01-12,2024-01-21,2024-01-20,Delivered,USPS,17,9.52,,-1.0,True,False,False,False,True
SHP-906657,ORD-500789,SKU-10406,SUP-235,2024-01-02,2024-01-05,,In-Transit,USPS,25,8.97,,,False,False,False,True,False
SHP-906658,ORD-500688,SKU-10401,SUP-216,2024-01-01,2024-01-04,2024-01-04,Delivered,FedEx,21,9.23,,0.0,True,False,False,False,True
SHP-906659,ORD-523105,SKU-10276,SUP-207,2024-01-26,2024-02-02,2024-02-01,Delivered,FreightCo,29,8.27,,-1.0,True,False,False,False,True
SHP-906660,ORD-509756,SKU-10307,SUP-228,2024-01-11,2024-01-20,2024-01-22,Delivered,FedEx,39,11.07,,2.0,True,True,False,False,False
SHP-906661,ORD-526504,SKU-10114,SUP-239,2024-01-29,2024-02-06,,In-Transit,DHL,11,7.91,,,False,False,False,True,False
SHP-906662,ORD-503529,SKU-10114,SUP-243,2024-01-05,2024-01-12,2024-01-11,Delivered,FreightCo,16,10.87,,-1.0,True,False,False,False,True
SHP-906663,ORD-514942,SKU-10349,SUP-221,2024-01-17,2024-01-23,2024-01-27,Delayed,USPS,1,5.17,Inventory Shortage,4.0,False,True,False,False,False
SHP-906664,ORD-526624,SKU-10284,SUP-234,2024-01-30,2024-02-03,2024-02-04,Delivered,USPS,34,13.28,,1.0,True,True,False,False,False
SHP-906665,ORD-505683,SKU-10036,SUP-211,2024-01-07,2024-01-17,2024-01-19,Delivered,USPS,43,16.56,,2.0,True,True,False,False,False
SHP-906666,ORD-514954,SKU-10297,SUP-247,2024-01-17,2024-01-27,2024-01-28,Delivered,FreightCo,3,5.8,,1.0,True,True,False,False,False
SHP-906667,ORD-514359,SKU-10213,SUP-219,2024-01-17,2024-01-26,2024-01-26,Delivered,UPS,24,13.97,,0.0,True,False,False,False,True
SHP-906668,ORD-519305,SKU-10445,SUP-214,2024-01-21,2024-01-24,,In-Transit,FedEx,33,7.94,,,False,False,False,True,False
SHP-906669,ORD-513153,SKU-10005,SUP-226,2024-01-16,2024-01-26,2024-01-25,Delivered,FedEx,41,11.65,,-1.0,True,False,False,False,True
SHP-906670,ORD-511806,SKU-10164,SUP-200,2024-01-15,2024-01-24,2024-01-29,Delayed,FreightCo,28,11.83,Customs Hold,5.0,False,True,False,False,False
SHP-906671,ORD-529281,SKU-10131,SUP-223,2024-01-30,2024-02-07,2024-02-09,Delivered,FedEx,28,11.82,,2.0,True,True,False,False,False
SHP-906672,ORD-522723,SKU-10245,SUP-204,2024-01-24,2024-01-29,2024-01-31,Delivered,FreightCo,46,22.78,,2.0,True,True,False,False,False
SHP-906673,ORD-526986,SKU-10088,SUP-201,2024-01-29,2024-02-04,2024-02-03,Delivered,FedEx,38,15.34,,-1.0,True,False,False,False,True
SHP-906674,ORD-502766,SKU-10390,SUP-200,2024-01-05,2024-01-13,,In-Transit,UPS,13,9.45,,,False,False,False,True,False
SHP-906675,ORD-519470,SKU-10071,SUP-205,2024-01-22,2024-01-26,2024-02-02,Delayed,FedEx,9,7.45,Customs Hold,7.0,False,True,False,False,False
SHP-906676,ORD-502026,SKU-10476,SUP-245,2024-01-05,2024-01-09,2024-01-13,Delayed,FedEx,21,8.94,Weather Delay,4.0,False,True,False,False,False
SHP-906677,ORD-520197,SKU-10145,SUP-212,2024-01-24,2024-02-01,2024-01-31,Delivered,FedEx,37,12.69,,-1.0,True,False,False,False,True
SHP-906678,ORD-501527,SKU-10098,SUP-206,2024-01-02,2024-01-12,2024-01-12,Delivered,USPS,38,20.01,,0.0,True,False,False,False,True
SHP-906679,ORD-523204,SKU-10378,SUP-246,2024-01-27,2024-02-04,2024-02-06,Delivered,UPS,5,6.99,,2.0,True,True,False,False,False
SHP-906680,ORD-529673,SKU-10381,SUP-222,2024-01-30,2024-02-08,,In-Transit,USPS,23,10.1,,,False,False,False,True,False
SHP-906681,ORD-513594,SKU-10330,SUP-207,2024-01-14,2024-01-22,2024-01-24,Delivered,FreightCo,16,6.44,,2.0,True,True,False,False,False
SHP-906682,ORD-502703,SKU-10361,SUP-246,2024-01-05,2024-01-08,2024-01-08,Delivered,DHL,38,19.72,,0.0,True,False,False,False,True
SHP-906683,ORD-505187,SKU-10349,SUP-236,2024-01-06,2024-01-15,2024-01-16,Delivered,UPS,36,7.74,,1.0,True,True,False,False,False
SHP-906684,ORD-525528,SKU-10063,SUP-249,2024-01-29,2024-02-01,2024-02-02,Delivered,FreightCo,18,11.04,,1.0,True,True,False,False,False
SHP-906685,ORD-527014,SKU-10491,SUP-213,2024-01-29,2024-02-02,2024-02-03,Delivered,DHL,2,5.71,,1.0,True,True,False,False,False
SHP-906686,ORD-518083,SKU-10464,SUP-235,2024-01-22,2024-02-01,2024-02-01,Delivered,USPS,15,8.43,,0.0,True,False,False,False,True
SHP-906687,ORD-514491,SKU-10226,SUP-220,2024-01-16,2024-01-19,2024-01-19,Delivered,FreightCo,11,8.39,,0.0,True,False,False,False,True
SHP-906688,ORD-523875,SKU-10214,SUP-244,2024-01-26,2024-02-05,,In-Transit,FedEx,16,6.03,,,False,False,False,True,False
SHP-906689,ORD-506708,SKU-10216,SUP-245,2024-01-08,2024-01-12,2024-01-11,Delivered,FreightCo,34,10.56,,-1.0,True,False,False,False,True
SHP-906690,ORD-529252,SKU-10179,SUP-235,2024-01-31,2024-02-03,2024-02-03,Delivered,UPS,5,5.54,,0.0,True,False,False,False,True
SHP-906691,ORD-510562,SKU-10301,SUP-248,2024-01-11,2024-01-20,,Lost,FedEx,18,6.88,Carrier Backlog,,False,False,True,False,False
SHP-906692,ORD-509296,SKU-10445,SUP-230,2024-01-12,2024-01-20,2024-01-19,Delivered,USPS,43,19.95,,-1.0,True,False,False,False,True
SHP-906693,ORD-516228,SKU-10454,SUP-213,2024-01-17,2024-01-25,2024-01-26,Delivered,FreightCo,2,5.29,,1.0,True,True,False,False,False
SHP-906694,ORD-522091,SKU-10136,SUP-238,2024-01-26,2024-02-04,,In-Transit,USPS,36,6.88,,,False,False,False,True,False
SHP-906695,ORD-529914,SKU-10305,SUP-237,2024-01-30,2024-02-07,2024-02-06,Delivered,FedEx,19,8.44,,-1.0,True,False,False,False,True
SHP-906696,ORD-510719,SKU-10321,SUP-232,2024-01-13,2024-01-21,2024-01-23,Delivered,DHL,8,6.62,,2.0,True,True,False,False,False
SHP-906697,ORD-517407,SKU-10428,SUP-203,2024-01-20,2024-01-28,2024-01-29,Delivered,USPS,7,6.24,,1.0,True,True,False,False,False
SHP-906698,ORD-525429,SKU-10243,SUP-208,2024-01-28,2024-02-03,2024-02-02,Delivered,FreightCo,35,18.78,,-1.0,True,False,False,False,True
SHP-906699,ORD-505910,SKU-10366,SUP-210,2024-01-08,2024-01-11,2024-01-13,Delivered,FedEx,10,7.78,,2.0,True,True,False,False,False
SHP-906700,ORD-522735,SKU-10152,SUP-235,2024-01-26,2024-02-05,2024-02-06,Delivered,DHL,45,22.8,,1.0,True,True,False,False,False
SHP-906701,ORD-516341,SKU-10239,SUP-234,2024-01-17,2024-01-20,2024-01-19,Delivered,FedEx,24,12.7,,-1.0,True,False,False,False,True
SHP-906702,ORD-524535,SKU-10048,SUP-208,2024-01-27,2024-02-05,2024-02-06,Delivered,FedEx,29,8.53,,1.0,True,True,False,False,False
SHP-906703,ORD-504424,SKU-10496,SUP-203,2024-01-06,2024-01-11,2024-01-12,Delivered,DHL,47,10.89,,1.0,True,True,False,False,False
SHP-906704,ORD-510927,SKU-10075,SUP-217,2024-01-13,2024-01-16,2024-01-15,Delivered,DHL,38,9.71,,-1.0,True,False,False,False,True
SHP-906705,ORD-525146,SKU-10417,SUP-241,2024-01-29,2024-02-03,2024-02-03,Delivered,FedEx,10,7.33,,0.0,True,False,False,False,True
SHP-906706,ORD-525084,SKU-10253,SUP-247,2024-01-27,2024-02-06,2024-02-08,Delayed,UPS,19,8.7,Weather Delay,2.0,False,True,False,False,False
SHP-906707,ORD-512636,SKU-10239,SUP-226,2024-01-16,2024-01-22,,In-Transit,DHL,39,10.46,,,False,False,False,True,False
SHP-906708,ORD-526620,SKU-10097,SUP-236,2024-01-28,2024-02-03,2024-02-05,Delivered,FedEx,29,8.3,,2.0,True,True,False,False,False
SHP-906709,ORD-506179,SKU-10361,SUP-244,2024-01-07,2024-01-17,2024-01-17,Delivered,FedEx,4,6.14,,0.0,True,False,False,False,True
SHP-906710,ORD-516793,SKU-10444,SUP-247,2024-01-17,2024-01-26,2024-01-25,Delivered,UPS,27,14.05,,-1.0,True,False,False,False,True
SHP-906711,ORD-513701,SKU-10118,SUP-208,2024-01-16,2024-01-21,2024-01-23,Delivered,FedEx,7,6.21,,2.0,True,True,False,False,False
SHP-906712,ORD-510007,SKU-10109,SUP-203,2024-01-12,2024-01-20,2024-01-19,Delivered,FedEx,11,7.44,,-1.0,True,False,False,False,True
SHP-906713,ORD-512988,SKU-10033,SUP-214,2024-01-13,2024-01-21,2024-01-26,Delayed,FreightCo,46,12.02,Customs Hold,5.0,False,True,False,False,False
SHP-906714,ORD-505554,SKU-10090,SUP-231,2024-01-09,2024-01-12,2024-01-12,Delivered,FedEx,8,7.1,,0.0,True,False,False,False,True
SHP-906715,ORD-504189,SKU-10432,SUP-244,2024-01-07,2024-01-11,2024-01-15,Delayed,DHL,20,12.68,Customs Hold,4.0,False,True,False,False,False
SHP-906716,ORD-520859,SKU-10054,SUP-245,2024-01-24,2024-01-30,2024-01-30,Delivered,FedEx,1,5.34,,0.0,True,False,False,False,True
SHP-906717,ORD-514015,SKU-10286,SUP-232,2024-01-16,2024-01-22,2024-01-23,Delivered,DHL,40,19.04,,1.0,True,True,False,False,False
SHP-906718,ORD-519958,SKU-10122,SUP-203,2024-01-22,2024-01-25,2024-01-27,Delivered,FreightCo,24,8.64,,2.0,True,True,False,False,False
SHP-906719,ORD-508132,SKU-10233,SUP-212,2024-01-09,2024-01-17,2024-01-17,Delivered,UPS,24,11.41,,0.0,True,False,False,False,True
SHP-906720,ORD-503739,SKU-10446,SUP-222,2024-01-06,2024-01-09,2024-01-09,Delivered,USPS,14,10.34,,0.0,True,False,False,False,True
SHP-906721,ORD-526271,SKU-10211,SUP-214,2024-01-30,2024-02-09,,In-Transit,FreightCo,21,7.08,,,False,False,False,True,False
SHP-906722,ORD-513553,SKU-10173,SUP-229,2024-01-17,2024-01-20,2024-01-21,Delivered,FreightCo,13,9.93,,1.0,True,True,False,False,False
SHP-906723,ORD-509509,SKU-10451,SUP-237,2024-01-12,2024-01-19,2024-01-21,Delivered,USPS,34,17.9,,2.0,True,True,False,False,False
SHP-906724,ORD-519746,SKU-10130,SUP-214,2024-01-21,2024-01-31,2024-01-31,Delivered,UPS,49,10.37,,0.0,True,False,False,False,True
SHP-906725,ORD-506759,SKU-10127,SUP-243,2024-01-07,2024-01-13,2024-01-14,Delivered,FedEx,20,7.51,,1.0,True,True,False,False,False
SHP-906726,ORD-508459,SKU-10202,SUP-238,2024-01-11,2024-01-20,2024-01-21,Delivered,UPS,10,8.18,,1.0,True,True,False,False,False
SHP-906727,ORD-528342,SKU-10229,SUP-230,2024-01-30,2024-02-03,2024-02-04,Delivered,USPS,45,17.38,,1.0,True,True,False,False,False
SHP-906728,ORD-526149,SKU-10126,SUP-202,2024-01-29,2024-02-08,2024-02-11,Delayed,USPS,48,17.94,Customs Hold,3.0,False,True,False,False,False
SHP-906729,ORD-509068,SKU-10465,SUP-247,2024-01-11,2024-01-15,,In-Transit,FedEx,29,13.74,,,False,False,False,True,False
SHP-906730,ORD-524464,SKU-10214,SUP-207,2024-01-26,2024-02-01,,In-Transit,UPS,38,14.71,,,False,False,False,True,False
SHP-906731,ORD-506550,SKU-10263,SUP-216,2024-01-07,2024-01-11,2024-01-11,Delivered,USPS,27,13.77,,0.0,True,False,False,False,True
